Fujairah	Fujairah	AE	 25° 06' 59"	 56° 20' 29"	4.0	--	-10	118933	292878
Reef Al Fujairah City	Fujairah	AE	 25° 08' 41"	 56° 14' 52"	4.0	--	-10	82310	12047417
Tarif Kalba	Fujairah	AE	 25° 04' 10"	 56° 19' 52"	4.0	--	-10	51000	290680
Ras Al Khaimah	Imarat Ra's al Khaymah	AE	 25° 47' 22"	 55° 56' 36"	4.0	--	-10	351943	291074
Umm Al Quwain City	Imarat Umm al Qaywayn	AE	 25° 33' 53"	 55° 33' 19"	4.0	--	-10	59098	290594
Adh Dhayd	Sharjah	AE	 25° 17' 17"	 55° 52' 54"	4.0	--	-10	20165	292953
Al Majaz	Sharjah	AE	 25° 19' 25"	 55° 23' 16"	4.0	--	-10	116503	8476509
Al Sajaah	Sharjah	AE	 25° 18' 55"	 55° 37' 56"	4.0	--	-10	53079	13118438
Halwan	Sharjah	AE	 25° 20' 45"	 55° 25' 18"	4.0	--	-10	19389	13118437
Kalba	Sharjah	AE	 25° 03' 05"	 56° 21' 15"	4.0	--	-10	37545	291763
Khawr Fakkan	Sharjah	AE	 25° 19' 53"	 56° 20' 31"	4.0	--	-10	40677	291696
Sharjah	Sharjah	AE	 25° 20' 03"	 55° 24' 44"	4.0	--	-10	1800000	292672
Baharak	Badakhshan	AF	 37° 00' 09"	 70° 54' 24"	4.5	--	-10	32551	1147489
Fayzabad	Badakhshan	AF	 37° 07' 00"	 70° 34' 48"	4.5	--	-10	44421	1142170
Jurm	Badakhshan	AF	 36° 51' 53"	 70° 50' 03"	4.5	--	-10	23064	1139085
Ghormach	Badghis	AF	 35° 43' 50"	 63° 46' 58"	4.5	--	-10	30000	1141089
Baghlan	Baghlan	AF	 36° 07' 50"	 68° 42' 30"	4.5	--	-10	108449	1147540
Nahrin	Baghlan	AF	 36° 03' 54"	 69° 08' 00"	4.5	--	-10	22363	1132495
Pul-e Khumri	Baghlan	AF	 35° 56' 40"	 68° 42' 54"	4.5	--	-10	56369	1130490
Balkh	Balkh	AF	 36° 45' 23"	 66° 53' 50"	4.5	--	-10	114883	1147290
Khulm	Balkh	AF	 36° 41' 50"	 67° 41' 54"	4.5	--	-10	64933	1136575
Mazar-e Sharif	Balkh	AF	 36° 42' 33"	 67° 06' 39"	4.5	--	-10	523300	1133616
Bamyan	Bamyan	AF	 34° 49' 18"	 67° 49' 38"	4.5	--	-10	61863	1147242
Bazar-e Yakawlang	Bamyan	AF	 34° 44' 07"	 66° 58' 26"	4.5	--	-10	65000	1121381
Nili	Daykundi	AF	 33° 43' 18"	 66° 07' 49"	4.5	--	2022	30058	1131833
Farah	Farah	AF	 32° 22' 28"	 62° 06' 59"	4.5	--	-10	43561	1142264
Andkhoy	Faryab	AF	 36° 57' 11"	 65° 07' 26"	4.5	--	-10	37900	1148658
Maymana	Faryab	AF	 35° 55' 17"	 64° 47' 01"	4.5	--	877	75900	1133453
Ghazni	Ghazni	AF	 33° 33' 14"	 68° 25' 15"	4.5	--	-10	141000	1141269
Shahrak	Ghowr	AF	 34° 06' 27"	 64° 18' 19"	4.5	--	-10	15967	1125896
Gereshk	Helmand	AF	 31° 49' 15"	 64° 34' 12"	4.5	--	-10	43588	1141540
Khan Neshin	Helmand	AF	 30° 32' 56"	 63° 47' 20"	4.5	--	642	25600	1137079
Lashkar Gah	Helmand	AF	 31° 35' 38"	 64° 22' 18"	4.5	--	-10	43934	1134720
Eslam Qaleh	Herat	AF	 34° 40' 00"	 61° 04' 00"	4.5	--	-10	18086	1142404
Herat	Herat	AF	 34° 20' 53"	 62° 11' 59"	4.5	--	-10	574300	1140026
Karukh	Herat	AF	 34° 28' 52"	 62° 35' 11"	4.5	--	-10	17484	1137807
Kushk	Herat	AF	 33° 17' 44"	 61° 57' 08"	4.5	--	-10	16952	1135158
Shindand	Herat	AF	 33° 18' 11"	 62° 08' 51"	4.5	--	-10	29264	1125155
Qarqin	Jowzjan	AF	 37° 25' 07"	 66° 02' 37"	4.5	--	-10	15018	1129516
Shibirghan	Jowzjan	AF	 36° 40' 03"	 65° 45' 10"	4.5	--	-10	55641	1125444
Istalif	Kabul	AF	 34° 49' 58"	 69° 04' 39"	4.5	--	-10	41413	1142330
Kabul	Kabul	AF	 34° 31' 41"	 69° 10' 20"	4.5	--	-10	4434550	1138958
Paghman	Kabul	AF	 34° 35' 16"	 68° 57' 03"	4.5	--	-10	49157	1131316
Kandahar	Kandahar	AF	 31° 36' 48"	 65° 42' 36"	4.5	--	-10	523300	1138336
Khost	Khowst	AF	 33° 20' 22"	 69° 55' 13"	4.5	--	-10	96123	1136469
Asadabad	Kunar	AF	 34° 52' 23"	 71° 08' 49"	4.5	--	-10	48400	1148311
Asmar	Kunar	AF	 35° 02' 00"	 71° 21' 29"	4.5	--	-10	15708	1148205
Khanabad	Kunduz	AF	 36° 40' 59"	 69° 06' 46"	4.5	--	-10	71531	1137168
Kunduz	Kunduz	AF	 36° 43' 44"	 68° 51' 25"	4.5	--	-10	161902	1135689
Qarawul	Kunduz	AF	 37° 13' 11"	 68° 46' 49"	4.5	--	-10	24544	1129648
Mehtar Lam	Laghman	AF	 34° 40' 17"	 70° 12' 34"	4.5	--	-10	17345	1133574
Baraki Barak	Logar	AF	 33° 58' 03"	 68° 56' 57"	4.5	--	-10	22305	1147066
Jalalabad	Nangarhar	AF	 34° 25' 35"	 70° 27' 06"	4.5	--	-10	271900	1139715
Markaz-e Woluswali-ye Achin	Nangarhar	AF	 34° 07' 33"	 70° 42' 28"	4.5	--	-10	15098	1469706
Khash	Nimroz	AF	 31° 31' 45"	 62° 47' 26"	4.5	--	-10	15133	1136863
Zaranj	Nimroz	AF	 30° 57' 35"	 61° 51' 37"	4.5	--	-10	49851	1120985
Gardez	Paktia	AF	 33° 35' 51"	 69° 13' 33"	4.5	--	-10	103601	1141857
Bazarak	Panjshir	AF	 35° 18' 47"	 69° 30' 55"	4.5	--	-10	65000	1429434
Charikar	Parwan	AF	 35° 00' 49"	 69° 10' 17"	4.5	--	-10	53676	1145352
Jabal os Saraj	Parwan	AF	 35° 07' 06"	 69° 14' 16"	4.5	--	-10	15032	1139807
Aibak	Samangan	AF	 36° 15' 53"	 68° 00' 56"	4.5	--	-10	47823	1127768
Sang-e Charak	Sar-e Pol	AF	 35° 50' 59"	 66° 26' 13"	4.5	--	-10	15377	1127628
Sar-e Pul	Sar-e Pol	AF	 36° 12' 56"	 65° 55' 57"	4.5	--	657	52121	1127110
Art Khwajah	Takhar	AF	 37° 05' 09"	 69° 28' 46"	4.5	--	-10	18623	1148106
Rustaq	Takhar	AF	 37° 07' 34"	 69° 49' 50"	4.5	--	-10	25636	1128265
Taloqan	Takhar	AF	 36° 44' 10"	 69° 32' 04"	4.5	--	-10	64256	1123004
Saint John's	Saint John	AG	 17° 07' 15"	-61° 50' 36"	-4.0	--	-10	51737	3576022
The Valley	The Valley	AI	 18° 13' 01"	-63° 03' 28"	-4.0	--	7	2035	3573374
Berat	Berat	AL	 40° 42' 21"	 19° 57' 08"	1.0	EU	-10	62232	3186084
Kucove	Berat	AL	 40° 48' 01"	 19° 55' 00"	1.0	EU	-10	31077	3185060
Bulqize	Diber	AL	 41° 29' 30"	 20° 13' 19"	1.0	EU	-10	26826	783508
Durres	Durres	AL	 41° 19' 25"	 19° 27' 17"	1.0	EU	-10	195920	3185728
Kruje	Durres	AL	 41° 30' 33"	 19° 47' 34"	1.0	EU	-10	51191	3185082
Elbasan	Elbasan	AL	 41° 06' 41"	 20° 04' 56"	1.0	EU	-10	100903	783263
Librazhd	Elbasan	AL	 41° 10' 46"	 20° 18' 54"	1.0	EU	-10	23312	782519
Peqin	Elbasan	AL	 41° 02' 46"	 19° 45' 04"	1.0	EU	-10	16580	3184497
Fier	Fier	AL	 40° 43' 30"	 19° 33' 30"	1.0	EU	-10	56297	3185672
Fier-Cifci	Fier	AL	 40° 43' 00"	 19° 34' 00"	1.0	EU	-10	60995	3185670
Lushnje	Fier	AL	 40° 56' 31"	 19° 42' 18"	1.0	EU	-10	63135	3184862
Patos	Fier	AL	 40° 41' 00"	 19° 37' 10"	1.0	EU	-10	16000	3184518
Patos Fshat	Fier	AL	 40° 38' 34"	 19° 39' 03"	1.0	EU	-10	22679	3184517
Gjirokaster	Gjirokaster	AL	 40° 04' 33"	 20° 08' 20"	1.0	EU	-10	23437	783148
Korce	Korce	AL	 40° 37' 07"	 20° 46' 51"	1.0	EU	-10	58259	782756
Pogradec	Korce	AL	 40° 54' 09"	 20° 39' 09"	1.0	EU	-10	46070	781988
