Kanzelhoehe		AT	 46° 40' 07"	 13° 54' 29"	1.0	EU	931.17
Kuffner		AT	 48° 12' 08"	 16° 17' 44"	1.0	EU	257.34
Leopold Figl		AT	 48° 05' 00"	 15° 25' 30"	1.0	EU	374.75
Linz		AT	 48° 13' 59"	 14° 11' 23"	1.0	EU	295.52		2772400
Salzburg		AT	 47° 46' 48"	 13° 00' 00"	1.0	EU	437.29		2766824
Vandans		AT	 47° 05' 57"	 9° 51' 48"	1.0	EU	646.24		10629658
Vienna		AT	 48° 13' 00"	 16° 22' 00"	1.0	EU	166.22		2761369
Vols		AT	 47° 09' 07"	 11° 11' 41"	1.0	EU	2263.71
Freeport		BS	 26° 33' 00"	-78° 42' 00"	-5.0	US	3.71		3572375
Nassau		BS	 25° 03' 00"	-77° 28' 01"	-5.0	US	5.80		3571824
Al Manamah		BH	 26° 01' 00"	 50° 32' 59"	3.0	--	46.22		290340
Chittagong		BD	 22° 15' 00"	 91° 49' 59"	6.0	--	0.00		1205733
Dacca		BD	 23° 51' 00"	 90° 24' 00"	6.0	--	10.62		1185241
Bridgetown		BB	 13° 04' 00"	-59° 30' 00"	-3.0	--	20.68		3374036
Antwerp		BE	 51° 13' 00"	 4° 24' 00"	1.0	EU	8.98		2803138
Brussels	Brabant	BE	 50° 51' 00"	 4° 20' 59"	1.0	EU	18.24		2800866
Humain		BE	 50° 11' 05"	 5° 15' 15"	1.0	EU	255.90
Oostende	Flandre occidentale	BE	 51° 07' 48"	 2° 32' 59"	1.0	EU	5.00		2789786
Ukkel		BE	 50° 47' 09"	 4° 21' 29"	1.0	EU	82.75		2785123
Belize City		BZ	 15° 31' 59"	-88° 17' 59"	-6.0	--	1158.14		3582677
Hamilton		BM	 32° 22' 01"	-64° 40' 58"	-4.0	US	3.86		3573197
La Paz		BO	-16° 31' 01"	-68° 10' 58"	-4.0	--	4050.72		3911925
Santa Cruz		BO	-17° 38' 59"	-63° 07' 59"	-4.0	--	378.00		3904906
Sarajevo		BA	 43° 49' 55"	 18° 20' 06"	1.0	EU	507.50		3191281
Francistown		BW	-21° 17' 00"	 27° 50' 00"	2.0	--	961.77		933778
Gaborone		BW	-24° 40' 00"	 25° 55' 00"	2.0	--	1004.02		933773
Lobatsi		BW	-25° 13' 00"	 25° 40' 00"	2.0	--	1345.13		933521
Belem		BR	-1° 22' 59"	-48° 28' 59"	-3.0	--	13.48		3405870
Brasilia		BR	-15° 52' 00"	-47° 55' 00"	-3.0	--	1056.24		3469058
Itapetinga		BR	-23° 11' 01"	-46° 33' 45"	-3.0	--	812.24
Manaus		BR	-3° 01' 59"	-60° 02' 59"	-4.0	--	74.70		3663517
Natal		BR	-5° 17' 59"	-35° 47' 59"	-3.0	--	129.27
